HCR 0000000080000000 
4096_L2_kind5_access0.table2 000000004009c000 
4096_L2_kind5_access0.value2 0000000100000401 
4096_L2_kind5_access0.table3 00000000400a0000 
4096_L2_kind5_access0.value3 0000000000000000 
4096_L2_kind5_access0 0000000096000002 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L2_kind11_access2.ttbr0 00000000400a4000 
4096_L2_kind11_access2.ttbr1 0000000040094000 
4096_L2_kind11_access2.tcr 0000000080100010 
4096_L2_kind11_access2.va ffff000000000230 
4096_L2_kind11_access2.access 0000000000000002 
4096_L2_kind11_access2.table0 0000000040094000 
4096_L2_kind11_access2.value0 0000000040098003 
4096_L2_kind11_access2.table1 0000000040098000 
4096_L2_kind11_access2.value1 000000004009c003 
4096_L2_kind11_access2.table2 000000004009c000 
4096_L2_kind11_access2.value2 0020000040000401 
4096_L2_kind11_access2.table3 00000000400a0000 
4096_L2_kind11_access2.value3 0000000000000000 
4096_L2_kind11_access2 000000008600000e ffff000000000230 ffff000000000230 0000000000000001 ffff000000000230 ffff000000000230 
4096_L3_kind3_access0.ttbr0 00000000400a4000 
4096_L3_kind3_access0.ttbr1 0000000040094000 
4096_L3_kind3_access0.tcr 0000000080100010 
4096_L3_kind3_access0.va ffff000000000230 
4096_L3_kind3_access0.access 0000000000000000 
4096_L3_kind3_access0.table0 0000000040094000 
4096_L3_kind3_access0.value0 0000000040098003 
4096_L3_kind3_access0.table1 0000000040098000 
4096_L3_kind3_access0.value1 000000004009c003 
4096_L3_kind3_access0.table2 000000004009c000 
4096_L3_kind3_access0.value2 00000000400a0003 
4096_L3_kind3_access0.table3 00000000400a0000 
4096_L3_kind3_access0.value3 0000000040000003 
4096_L3_kind3_access0 000000009600000b ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L3_kind4_access1.ttbr0 00000000400a4000 
4096_L3_kind4_access1.ttbr1 0000000040094000 
4096_L3_kind4_access1.tcr 0000000080100010 
4096_L3_kind4_access1.va ffff000000000230 
4096_L3_kind4_access1.access 0000000000000001 
4096_L3_kind4_access1.table0 0000000040094000 
4096_L3_kind4_access1.value0 0000000040098003 
4096_L3_kind4_access1.table1 0000000040098000 
4096_L3_kind4_access1.value1 000000004009c003 
4096_L3_kind4_access1.table2 000000004009c000 
4096_L3_kind4_access1.value2 00000000400a0003 
4096_L3_kind4_access1.table3 00000000400a0000 
4096_L3_kind4_access1.value3 0000000040000483 
4096_L3_kind4_access1 000000009600004f ffff000000000230 0000000040080090 0000000000000001 ffff000000000230 0000000040080090 
4096_L3_kind5_access0.ttbr0 00000000400a4000 
4096_L3_kind5_access0.ttbr1 0000000040094000 
4096_L3_kind5_access0.tcr 0000000080100010 
4096_L3_kind5_access0.va ffff000000000230 
4096_L3_kind5_access0.access 0000000000000000 
4096_L3_kind5_access0.table0 0000000040094000 
4096_L3_kind5_access0.value0 0000000040098003 
4096_L3_kind5_access0.table1 0000000040098000 
4096_L3_kind5_access0.value1 000000004009c003 
4096_L3_kind5_access0.table2 000000004009c000 
4096_L3_kind5_access0.value2 00000000400a0003 
4096_L3_kind5_access0.table3 00000000400a0000 
4096_L3_kind5_access0.value3 0000000100000403 
4096_L3_kind5_access0 0000000096000003 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L3_kind11_access2.ttbr0 00000000400a4000 
4096_L3_kind11_access2.ttbr1 0000000040094000 
4096_L3_kind11_access2.tcr 0000000080100010 
4096_L3_kind11_access2.va ffff000000000230 
4096_L3_kind11_access2.access 0000000000000002 
4096_L3_kind11_access2.table0 0000000040094000 
4096_L3_kind11_access2.value0 0000000040098003 
4096_L3_kind11_access2.table1 0000000040098000 
4096_L3_kind11_access2.value1 000000004009c003 
4096_L3_kind11_access2.table2 000000004009c000 
4096_L3_kind11_access2.value2 00000000400a0003 
4096_L3_kind11_access2.table3 00000000400a0000 
4096_L3_kind11_access2.value3 0020000040000403 
4096_L3_kind11_access2 000000008600000f ffff000000000230 ffff000000000230 0000000000000001 ffff000000000230 ffff000000000230 
4096_L3_kind7_access0.ttbr0 00000000400a4000 
4096_L3_kind7_access0.ttbr1 0000000100000000 
4096_L3_kind7_access0.tcr 0000000080100010 
4096_L3_kind7_access0.va ffff000000000230 
4096_L3_kind7_access0.access 0000000000000000 
4096_L3_kind7_access0.table0 0000000040094000 
4096_L3_kind7_access0.value0 0000000040098003 
4096_L3_kind7_access0.table1 0000000040098000 
4096_L3_kind7_access0.value1 000000004009c003 
4096_L3_kind7_access0.table2 000000004009c000 
4096_L3_kind7_access0.value2 00000000400a0003 
4096_L3_kind7_access0.table3 00000000400a0000 
4096_L3_kind7_access0.value3 0000000040000403 
4096_L3_kind7_access0 0000000096000000 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L3_kind8_access0.ttbr0 00000000400a4000 
4096_L3_kind8_access0.ttbr1 0000000040094000 
4096_L3_kind8_access0.tcr 0000000080900010 
4096_L3_kind8_access0.va ffff000000000230 
4096_L3_kind8_access0.access 0000000000000000 
4096_L3_kind8_access0.table0 0000000040094000 
4096_L3_kind8_access0.value0 0000000040098003 
4096_L3_kind8_access0.table1 0000000040098000 
4096_L3_kind8_access0.value1 000000004009c003 
4096_L3_kind8_access0.table2 000000004009c000 
4096_L3_kind8_access0.value2 00000000400a0003 
4096_L3_kind8_access0.table3 00000000400a0000 
4096_L3_kind8_access0.value3 0000000040000403 
4096_L3_kind8_access0 0000000096000004 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
16384_L1_kind0_access0.ttbr0 00000000400a8000 
16384_L1_kind0_access0.ttbr1 0000000040098000 
16384_L1_kind0_access0.tcr 0000000040118011 
16384_L1_kind0_access0.va ffff800000000230 
16384_L1_kind0_access0.access 0000000000000000 
16384_L1_kind0_access0.table0 0000000040094000 
16384_L1_kind0_access0.value0 0000000000000000 
16384_L1_kind0_access0.table1 0000000040098000 
16384_L1_kind0_access0.value1 0000000000000000 
16384_L1_kind0_access0.table2 000000004009c000 
16384_L1_kind0_access0.value2 00000000400a0003 
16384_L1_kind0_access0.table3 00000000400a0000 
16384_L1_kind0_access0.value3 0000000000000000 
16384_L1_kind0_access0 0000000096000005 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L1_kind6_access0.ttbr0 00000000400a8000 
16384_L1_kind6_access0.ttbr1 0000000040098000 
16384_L1_kind6_access0.tcr 0000000040118011 
16384_L1_kind6_access0.va ffff800000000230 
16384_L1_kind6_access0.access 0000000000000000 
16384_L1_kind6_access0.table0 0000000040094000 
16384_L1_kind6_access0.value0 0000000000000000 
16384_L1_kind6_access0.table1 0000000040098000 
16384_L1_kind6_access0.value1 0000000100000003 
16384_L1_kind6_access0.table2 000000004009c000 
16384_L1_kind6_access0.value2 00000000400a0003 
16384_L1_kind6_access0.table3 00000000400a0000 
16384_L1_kind6_access0.value3 0000000000000000 
16384_L1_kind6_access0 0000000096000001 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L1_kind2_access0.ttbr0 00000000400a8000 
16384_L1_kind2_access0.ttbr1 0000000040098000 
16384_L1_kind2_access0.tcr 0000000040118011 
16384_L1_kind2_access0.va ffff800000000230 
16384_L1_kind2_access0.access 0000000000000000 
16384_L1_kind2_access0.table0 0000000040094000 
16384_L1_kind2_access0.value0 0000000000000000 
16384_L1_kind2_access0.table1 0000000040098000 
16384_L1_kind2_access0.value1 0000000000000401 
16384_L1_kind2_access0.table2 000000004009c000 
16384_L1_kind2_access0.value2 00000000400a0003 
16384_L1_kind2_access0.table3 00000000400a0000 
16384_L1_kind2_access0.value3 0000000000000000 
16384_L1_kind2_access0 0000000096000005 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L2_kind0_access0.ttbr0 00000000400a8000 
16384_L2_kind0_access0.ttbr1 0000000040098000 
16384_L2_kind0_access0.tcr 0000000040118011 
16384_L2_kind0_access0.va ffff800000000230 
16384_L2_kind0_access0.access 0000000000000000 
16384_L2_kind0_access0.table0 0000000040094000 
16384_L2_kind0_access0.value0 0000000000000000 
16384_L2_kind0_access0.table1 0000000040098000 
16384_L2_kind0_access0.value1 000000004009c003 
16384_L2_kind0_access0.table2 000000004009c000 
16384_L2_kind0_access0.value2 0000000000000000 
16384_L2_kind0_access0.table3 00000000400a0000 
16384_L2_kind0_access0.value3 0000000000000000 
16384_L2_kind0_access0 0000000096000006 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L2_kind6_access0.ttbr0 00000000400a8000 
16384_L2_kind6_access0.ttbr1 0000000040098000 
16384_L2_kind6_access0.tcr 0000000040118011 
16384_L2_kind6_access0.va ffff800000000230 
16384_L2_kind6_access0.access 0000000000000000 
16384_L2_kind6_access0.table0 0000000040094000 
16384_L2_kind6_access0.value0 0000000000000000 
16384_L2_kind6_access0.table1 0000000040098000 
16384_L2_kind6_access0.value1 000000004009c003 
16384_L2_kind6_access0.table2 000000004009c000 
16384_L2_kind6_access0.value2 0000000100000003 
16384_L2_kind6_access0.table3 00000000400a0000 
16384_L2_kind6_access0.value3 0000000000000000 
16384_L2_kind6_access0 0000000096000002 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L3_kind0_access0.ttbr0 00000000400a8000 
16384_L3_kind0_access0.ttbr1 0000000040098000 
16384_L3_kind0_access0.tcr 0000000040118011 
16384_L3_kind0_access0.va ffff800000000230 
16384_L3_kind0_access0.access 0000000000000000 
16384_L3_kind0_access0.table0 0000000040094000 
16384_L3_kind0_access0.value0 0000000000000000 
16384_L3_kind0_access0.table1 0000000040098000 
16384_L3_kind0_access0.value1 000000004009c003 
16384_L3_kind0_access0.table2 000000004009c000 
16384_L3_kind0_access0.value2 00000000400a0003 
16384_L3_kind0_access0.table3 00000000400a0000 
16384_L3_kind0_access0.value3 0000000000000000 
